"Timestamp","Scope","Pid(s)","CPU_Percent","WorkingSet_MB","Private_MB","Threads","Handles"
"2025-08-20T00:02:06","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18248;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38172;38208;38408;39488;39816","4.941","9841.13","9577.72","1696","30771"
"2025-08-20T00:02:07","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18248;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38172;38208;38408;39488;39816","9.847","9798.55","9569","1684","30454"
"2025-08-20T00:02:08","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18248;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38172;38208;38408;39488;39816","4.891","9797.8","9568.77","1684","30446"
"2025-08-20T00:02:09","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18248;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38172;38208;38408;39488;39816","4.913","9811.31","9573.14","1684","30452"
"2025-08-20T00:02:10","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18248;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38172;38208;38408;39488;39816","4.838","9796.27","9575.74","1684","30453"
"2025-08-20T00:02:11","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18248;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38172;38208;38408;39488;39816","4.94","9796.9","9581.65","1684","30448"
"2025-08-20T00:02:12","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18248;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38172;38208;38408;39488;39816","4.891","9789.68","9574.38","1684","30453"
"2025-08-20T00:02:13","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18248;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38172;38208;38408;39488;39816","4.911","9753.73","9577.72","1684","30453"
"2025-08-20T00:02:14","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18248;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38172;38208;38408;39488;39816","4.853","9752.7","9576.64","1684","30451"
"2025-08-20T00:02:15","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15788;16464;16908;18112;18248;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26588;26920;27856;28100;28520;28764;29368;29644;30300;30412;31236;32056;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;38208;38408;39488;39816","4.893","9704.4","9558.89","1668","30132"
